id,religion,denomination,role_name,summary,min_entry_age,is_open_to_minors,official_contact_name,official_contact_phone,official_contact_url,reality_notes,source_name,source_url,verified_at
prot-tonghap,PROTESTANT,대한예수교장로회(통합),목사,"교회 공동체의 예배를 인도하고 설교·상담·교육을 맡는 사람이에요. 교인들의 삶의 중요한 순간(결혼·장례 등)에 함께해요. 교회 행정과 운영도 실제 업무의 큰 부분이에요.",,false,대한예수교장로회총회(통합),,https://new.pck.or.kr,"개신교는 교단마다 인준하는 신학교가 달라요 — 어느 신학대학원이든이 아니라 '내 교단이 인준한 학교'를 나와야 안수로 이어져요. 이 교단의 직영(인준) 신학대학은 장로회신학대 등 7곳이에요. 교단이 다르면 이 정보가 통째로 달라지니, 소속 교회가 어느 교단인지 확인하는 게 첫 순서예요.",대한예수교장로회총회(통합) 공식 안내(2026-07 확인),https://new.pck.or.kr,2026-07-27
cath-priest,CATHOLIC,한국 천주교(교구 사제),신부(사제),"미사와 성사를 집전하고 신자들의 신앙생활과 상담을 돌보는 사람이에요. 교구에 소속되어 본당(성당)을 옮겨 다니며 일해요. 독신으로 사는 것이 제도의 일부예요.",,false,한국천주교주교회의,,https://www.cbck.or.kr,"신학교 입학부터 사제 서품까지 통상 10년 안팎이 걸리는 긴 경로예요. 신학교(전국 교구별 7곳)는 소속 교구의 추천이 있어야 입학할 수 있어서, 본당 신부님·교구 사무국 상담이 공식 첫 단계예요. 서품 전 단계까지는 언제든 멈추고 다른 진로로 갈 수 있어요.",한국천주교주교회의(2026-07 확인),https://www.cbck.or.kr,2026-07-27
budd-jogye,BUDDHIST,대한불교조계종,스님(비구·비구니),"수행과 의례를 담당하고 신도 교육·상담과 사찰 운영을 맡는 사람이에요. 공동체 생활과 수행이 일과의 기본이에요.",13,true,대한불교조계종 출가 상담,1666-7987,http://monk.buddhism.or.kr,"출가 자격은 만 13세~50세이고 구족계(정식 승려의 계)를 받으려면 만 20세 이상·고졸 이상이 필요해요. 행자 기간은 언제든 돌아올 수 있지만 수계 이후는 절차 없이 되돌리기 어려워요. 미성년 출가에는 보호자 동의 등 별도 절차가 있어요 — 정확한 조건은 출가 상담 전화로 확인하는 게 순서예요.",대한불교조계종 출가 안내(2026-07 확인),http://monk.buddhism.or.kr,2026-07-27
won-gyomu,WON_BUDDHIST,원불교,교무,"교당에서 법회와 교화·상담을 맡는 원불교의 성직자예요. 교육·복지·문화 기관에서 일하는 교무도 있어요.",,false,원불교 교정원,,https://www.won.or.kr,"전무출신(성직) 지원 심사를 거쳐 예비교무 학부 4년과 대학원 2년, 두 차례 자격 검정을 통과해야 교무가 돼요. 과정이 정해져 있는 만큼 학부 입학 전에 교당·교정원 상담으로 조건을 확인하는 게 순서예요. 출가식 전까지는 다른 진로로 옮길 수 있어요.",원불교 교정원·원광대 원불교학과(2026-07 확인),https://www.won.or.kr,2026-07-27
angl-priest,PROTESTANT,대한성공회,사제,"예배(감사성찬례)를 집전하고 교회 공동체를 돌보는 사람이에요. 교구에 소속되어 일하고 결혼할 수 있어요.",,false,대한성공회,,https://anglicankr.church,"4년제 학사를 마친 뒤 소속 교회·교구의 청원을 거쳐 성공회대 신학전문대학원 성직과정에 들어가는 구조예요. 견진(정식 신자 절차) 후 1년 이상 등 교회 내 조건이 있어서 교구 상담이 공식 첫 단계예요. 서품 전까지는 되돌릴 수 있어요.",대한성공회(2026-07 확인),https://anglicankr.church,2026-07-27
prot-hapdong,PROTESTANT,대한예수교장로회(합동),목사,"교회 공동체의 예배를 인도하고 설교·상담·교육을 맡는 사람이에요. 교인들의 삶의 중요한 순간에 함께해요. 교회 행정과 운영도 실제 업무의 큰 부분이에요.",,false,대한예수교장로회총회(합동),,https://www.gapck.org,"이 교단의 인준 신학교는 총신대학교예요. 신학대학원 뒤 강도사고시와 강도사 1년, 노회 목사고시를 거쳐 안수를 받는 구조라 학부부터 통상 8년 안팎이 걸려요. 교단마다 인준 신학교와 과정이 다르니 소속 교회의 교단 확인이 첫 순서예요.",대한예수교장로회총회(합동) 공식 안내(2026-07 확인),https://www.gapck.org,2026-07-27
prot-methodist,PROTESTANT,기독교대한감리회,목사,"교회 공동체의 예배를 인도하고 설교·상담·교육을 맡는 사람이에요. 감리회는 목회자를 연회(지역 조직)가 파송하는 구조라 임지 이동이 제도의 일부예요.",,false,기독교대한감리회 본부,,https://www.kmc.or.kr,"감리회가 인준하는 신학대학원은 감리교신학대·목원대·협성대 세 곳이에요. 인준 과정 수료 후 수련 과정과 연회 고시를 거쳐 안수를 받아요. 같은 개신교라도 교단마다 인준 학교가 다르니 소속 교회의 교단부터 확인해요.",기독교대한감리회 공식 안내(2026-07 확인),https://www.kmc.or.kr,2026-07-27
prot-kijang,PROTESTANT,한국기독교장로회,목사,"교회 공동체의 예배를 인도하고 설교·상담·교육을 맡는 사람이에요. 교인들의 삶의 중요한 순간에 함께하고, 교회 행정과 운영도 실제 업무의 큰 부분이에요.",,false,한국기독교장로회 총회,,https://www.prok.org,"이 교단의 인준 신학교는 한신대학교예요. 학사 전공과 무관하게 신학대학원(M.Div.)을 마치고 교단 목사고시를 통과해야 안수로 이어져요. 교단마다 인준 신학교가 다르니 소속 교회의 교단 확인이 첫 순서예요.",한국기독교장로회 총회 공식 안내(2026-07 확인),https://www.prok.org,2026-07-27
prot-kiseong,PROTESTANT,기독교대한성결교회,목사,"교회 공동체의 예배를 인도하고 설교·상담·교육을 맡는 사람이에요. 교인들의 삶의 중요한 순간에 함께하고, 교회 행정과 운영도 실제 업무의 큰 부분이에요.",,false,기독교대한성결교회 총회,,http://www.kehc.org,"이 교단의 인준 신학교는 서울신학대학교예요. 신학대학원 과정 뒤 교단 고시를 거쳐 안수를 받는 구조예요. 같은 개신교라도 교단마다 인준 학교와 절차가 다르니 소속 교회의 교단부터 확인해요.",기독교대한성결교회 총회 공식 안내(2026-07 확인),http://www.kehc.org,2026-07-27
prot-kichim,PROTESTANT,기독교한국침례회,목사,"교회 공동체의 예배를 인도하고 설교·상담·교육을 맡는 사람이에요. 침례교는 각 교회의 자율을 중시하는 전통이 있어서 교회 공동체와의 관계가 특히 중요해요.",,false,기독교한국침례회(한국침례신학대학교 안내),,https://www.kbtus.ac.kr,"이 교단의 인준 신학교는 한국침례신학대학교 한 곳이에요. 침례교는 개교회 중심 전통이라 안수 절차가 교회·지방회 중심으로 진행되는 등 장로교단과 결이 달라요. 소속 교회의 교단 확인이 첫 순서인 건 똑같아요.",한국침례신학대학교(교단 직영) 공식 안내(2026-07 확인),https://www.kbtus.ac.kr,2026-07-27
