id,path_id,step_order,name,typical_duration,prerequisites,is_reversible,reversibility_note
prot-s1,prot-tonghap,1,4년제 대학 졸업(전공 무관),4년,,true,학사 과정은 어느 진로로든 이어져요.
prot-s2,prot-tonghap,2,교단 인준 신학대학원(M.Div.),3년,학사 학위,true,중도에 나오면 이수 학점·학위 과정 기록이 남고 다른 진로로 옮길 수 있어요.
prot-s3,prot-tonghap,3,전도사 과정과 교단 고시,,신학대학원 과정,true,고시 전까지는 언제든 방향을 바꿀 수 있어요.
prot-s4,prot-tonghap,4,목사 안수,,교단 고시 합격,false,안수는 교단 제도상 되돌리기 어려운 단계예요. 그 전 단계까지는 되돌릴 수 있어요.
cath-s1,cath-priest,1,교구 예비신학생 과정,,소속 본당·교구 안내,true,중·고생 대상 모임으로 참여만으로는 아무것도 확정되지 않아요.
cath-s2,cath-priest,2,신학대학 입학·수학,군복무 포함 통상 10년 안팎,고졸·소속 교구 추천,true,중도에 나오면 이수 학점·학위 과정이 남아요. 실제로 다른 진로로 옮기는 사람들이 있어요.
cath-s3,cath-priest,3,부제 서품,,신학 과정 수료,false,서품은 교회 제도상 되돌리기 어려운 단계예요.
cath-s4,cath-priest,4,사제 서품,,부제 과정,false,서품 이후는 제도적으로 되돌리기 어려워요. 그 전 어느 단계에서든 멈출 수 있어요.
budd-s1,budd-jogye,1,출가 상담·행자 생활,6개월~1년,만 13세~50세,true,행자 기간은 언제든 그만두고 일상으로 돌아갈 수 있어요.
budd-s2,budd-jogye,2,사미·사미니계 수지,,행자 과정 수료,false,수계 이후는 종단 절차 없이 되돌리기 어려워요. 결정 전 단계에서 충분히 확인해요.
budd-s3,budd-jogye,3,기본교육 과정,4년,사미·사미니계,true,교육 과정 자체는 중단할 수 있어요. 수계 상태는 별개예요.
budd-s4,budd-jogye,4,구족계(비구·비구니계) 수지,,만 20세 이상·고졸 이상,false,정식 승려가 되는 단계로 제도상 되돌리기 어려워요.
won-s1,won-gyomu,1,전무출신 지원·심사,,교무 추천,true,심사는 지원 절차일 뿐이라 언제든 철회할 수 있어요.
won-s2,won-gyomu,2,예비교무 학부 과정,4년,전무출신 심사 통과,true,중도에 나오면 이수 학점·학위가 남아요.
won-s3,won-gyomu,3,대학원 과정과 자격 검정,2년,학부 과정·1차 검정,true,검정 전까지는 방향을 바꿀 수 있어요.
won-s4,won-gyomu,4,출가식·교무 임명,,2차 자격 검정 합격,false,출가식 이후는 제도상 되돌리기 어려워요.
angl-s1,angl-priest,1,4년제 대학 졸업(전공 무관),4년,,true,학사 과정은 어느 진로로든 이어져요.
angl-s2,angl-priest,2,교구 청원·신학전문대학원 성직과정,,견진 후 1년 이상·소속 교구 청원,true,중도에 나오면 이수 학점·학위 과정이 남아요.
angl-s3,angl-priest,3,부제 서품,,성직과정 수료,false,서품은 제도상 되돌리기 어려운 단계예요.
angl-s4,angl-priest,4,사제 서품,,사제고시 합격,false,서품 이후는 되돌리기 어려워요. 그 전에는 언제든 멈출 수 있어요.
hapdong-s1,prot-hapdong,1,4년제 대학 졸업(전공 무관),4년,,true,학사 과정은 어느 진로로든 이어져요.
hapdong-s2,prot-hapdong,2,총신대 신학대학원(M.Div.),3년,학사 학위,true,중도에 나오면 이수 학점·학위 과정 기록이 남아요.
hapdong-s3,prot-hapdong,3,강도사고시·강도사 과정,1년,신학대학원 수료,true,고시와 수련 단계까지는 언제든 방향을 바꿀 수 있어요.
hapdong-s4,prot-hapdong,4,노회 목사고시·목사 안수,,강도사 과정,false,안수는 교단 제도상 되돌리기 어려운 단계예요. 그 전까지는 되돌릴 수 있어요.
meth-s1,prot-methodist,1,4년제 대학 졸업(전공 무관),4년,,true,학사 과정은 어느 진로로든 이어져요.
meth-s2,prot-methodist,2,인준 신학대학원(감신대·목원대·협성대),,학사 학위,true,중도에 나오면 이수 학점·학위 과정 기록이 남아요.
meth-s3,prot-methodist,3,수련 과정·연회 고시,,인준 과정 수료,true,고시 전까지는 언제든 방향을 바꿀 수 있어요.
meth-s4,prot-methodist,4,목사 안수,,연회 고시 합격,false,안수는 교단 제도상 되돌리기 어려운 단계예요.
rel-s1,cath-religious,1,성소 모임·수도회 탐색,,,true,모임 참여는 탐색일 뿐 아무것도 확정되지 않아요.
rel-s2,cath-religious,2,입회·지원기,6개월~1년,수도회별 입회 조건,true,지원기는 서로를 알아보는 기간이라 언제든 떠날 수 있어요.
rel-s3,cath-religious,3,청원기,약 1년,지원기 수료,true,청원기까지는 자유롭게 되돌릴 수 있어요.
rel-s4,cath-religious,4,수련기,2년,청원기 수료,true,수련기 중에도 떠날 수 있어요. 기록이 진로에 불이익으로 남지 않아요.
rel-s5,cath-religious,5,유기서원,4~5년(갱신제),수련기 수료,true,기한이 있는 서원이라 만료 때 갱신하지 않으면 떠날 수 있어요.
rel-s6,cath-religious,6,종신서원,,유기서원기 수료,false,평생을 약속하는 서원이라 제도상 되돌리기 어려워요. 그 전 모든 단계에서는 떠날 수 있어요.
islam-s1,islam-imam,1,중앙회 상담·공동체 활동,,,true,상담과 활동만으로는 아무것도 확정되지 않아요.
islam-s2,islam-imam,2,해외 이슬람 대학 유학,,중앙회 상담으로 조건 확인,true,학위 과정이라 이수 기록이 남고 다른 진로로도 이어질 수 있어요.
